№	Code	Browser	Sample	Sample Fallback	CLDR Short Name
1	U+1F636 U+200D U+1F32B U+FE0F	😶‍🌫️	😶‍🌫️	😶 🌫	face in clouds
2	U+1F62E U+200D U+1F4A8	😮‍💨	😮‍💨	😮 💨	face exhaling
3	U+1F642 U+200D U+2194 U+FE0F	🙂‍↔️	🙂‍↔️	🙂 ↔	head shaking horizontally
4	U+1F642 U+200D U+2195 U+FE0F	🙂‍↕️	🙂‍↕️	🙂 ↕	head shaking vertically
5	U+1F635 U+200D U+1F4AB	😵‍💫	😵‍💫	😵 💫	face with spiral eyes
6	U+2764 U+FE0F U+200D U+1F525	❤️‍🔥	❤️‍🔥	❤ 🔥	heart on fire
7	U+2764 U+FE0F U+200D U+1FA79	❤️‍🩹	❤️‍🩹	❤ 🩹	mending heart
8	U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F	👁️‍🗨️	👁️‍🗨️	👁 🗨	eye in speech bubble
9	U+1FAF1 U+1F3FB U+200D U+1FAF2 U+1F3FC	🫱🏻‍🫲🏼	🫱🏻‍🫲🏼	🫱🏻 🫲🏼	handshake: light skin tone, medium-light skin tone
10	U+1FAF1 U+1F3FB U+200D U+1FAF2 U+1F3FD	🫱🏻‍🫲🏽	🫱🏻‍🫲🏽	🫱🏻 🫲🏽	handshake: light skin tone, medium skin tone
11	U+1FAF1 U+1F3FB U+200D U+1FAF2 U+1F3FE	🫱🏻‍🫲🏾	🫱🏻‍🫲🏾	🫱🏻 🫲🏾	handshake: light skin tone, medium-dark skin tone
12	U+1FAF1 U+1F3FB U+200D U+1FAF2 U+1F3FF	🫱🏻‍🫲🏿	🫱🏻‍🫲🏿	🫱🏻 🫲🏿	handshake: light skin tone, dark skin tone
13	U+1FAF1 U+1F3FC U+200D U+1FAF2 U+1F3FB	🫱🏼‍🫲🏻	🫱🏼‍🫲🏻	🫱🏼 🫲🏻	handshake: medium-light skin tone, light skin tone
14	U+1FAF1 U+1F3FC U+200D U+1FAF2 U+1F3FD	🫱🏼‍🫲🏽	🫱🏼‍🫲🏽	🫱🏼 🫲🏽	handshake: medium-light skin tone, medium skin tone
15	U+1FAF1 U+1F3FC U+200D U+1FAF2 U+1F3FE	🫱🏼‍🫲🏾	🫱🏼‍🫲🏾	🫱🏼 🫲🏾	handshake: medium-light skin tone, medium-dark skin tone
16	U+1FAF1 U+1F3FC U+200D U+1FAF2 U+1F3FF	🫱🏼‍🫲🏿	🫱🏼‍🫲🏿	🫱🏼 🫲🏿	handshake: medium-light skin tone, dark skin tone
17	U+1FAF1 U+1F3FD U+200D U+1FAF2 U+1F3FB	🫱🏽‍🫲🏻	🫱🏽‍🫲🏻	🫱🏽 🫲🏻	handshake: medium skin tone, light skin tone
18	U+1FAF1 U+1F3FD U+200D U+1FAF2 U+1F3FC	🫱🏽‍🫲🏼	🫱🏽‍🫲🏼	🫱🏽 🫲🏼	handshake: medium skin tone, medium-light skin tone
19	U+1FAF1 U+1F3FD U+200D U+1FAF2 U+1F3FE	🫱🏽‍🫲🏾	🫱🏽‍🫲🏾	🫱🏽 🫲🏾	handshake: medium skin tone, medium-dark skin tone
20	U+1FAF1 U+1F3FD U+200D U+1FAF2 U+1F3FF	🫱🏽‍🫲🏿	🫱🏽‍🫲🏿	🫱🏽 🫲🏿	handshake: medium skin tone, dark skin tone
21	U+1FAF1 U+1F3FE U+200D U+1FAF2 U+1F3FB	🫱🏾‍🫲🏻	🫱🏾‍🫲🏻	🫱🏾 🫲🏻	handshake: medium-dark skin tone, light skin tone
22	U+1FAF1 U+1F3FE U+200D U+1FAF2 U+1F3FC	🫱🏾‍🫲🏼	🫱🏾‍🫲🏼	🫱🏾 🫲🏼	handshake: medium-dark skin tone, medium-light skin tone
23	U+1FAF1 U+1F3FE U+200D U+1FAF2 U+1F3FD	🫱🏾‍🫲🏽	🫱🏾‍🫲🏽	🫱🏾 🫲🏽	handshake: medium-dark skin tone, medium skin tone
24	U+1FAF1 U+1F3FE U+200D U+1FAF2 U+1F3FF	🫱🏾‍🫲🏿	🫱🏾‍🫲🏿	🫱🏾 🫲🏿	handshake: medium-dark skin tone, dark skin tone
25	U+1FAF1 U+1F3FF U+200D U+1FAF2 U+1F3FB	🫱🏿‍🫲🏻	🫱🏿‍🫲🏻	🫱🏿 🫲🏻	handshake: dark skin tone, light skin tone
26	U+1FAF1 U+1F3FF U+200D U+1FAF2 U+1F3FC	🫱🏿‍🫲🏼	🫱🏿‍🫲🏼	🫱🏿 🫲🏼	handshake: dark skin tone, medium-light skin tone
27	U+1FAF1 U+1F3FF U+200D U+1FAF2 U+1F3FD	🫱🏿‍🫲🏽	🫱🏿‍🫲🏽	🫱🏿 🫲🏽	handshake: dark skin tone, medium skin tone
28	U+1FAF1 U+1F3FF U+200D U+1FAF2 U+1F3FE	🫱🏿‍🫲🏾	🫱🏿‍🫲🏾	🫱🏿 🫲🏾	handshake: dark skin tone, medium-dark skin tone
29	U+1F9D4 U+200D U+2642 U+FE0F	🧔‍♂️	🧔‍♂️	🧔 ♂	man: beard
30	U+1F9D4 U+1F3FB U+200D U+2642 U+FE0F	🧔🏻‍♂️	🧔🏻‍♂️	🧔🏻 ♂	man: light skin tone, beard
31	U+1F9D4 U+1F3FC U+200D U+2642 U+FE0F	🧔🏼‍♂️	🧔🏼‍♂️	🧔🏼 ♂	man: medium-light skin tone, beard
32	U+1F9D4 U+1F3FD U+200D U+2642 U+FE0F	🧔🏽‍♂️	🧔🏽‍♂️	🧔🏽 ♂	man: medium skin tone, beard
33	U+1F9D4 U+1F3FE U+200D U+2642 U+FE0F	🧔🏾‍♂️	🧔🏾‍♂️	🧔🏾 ♂	man: medium-dark skin tone, beard
34	U+1F9D4 U+1F3FF U+200D U+2642 U+FE0F	🧔🏿‍♂️	🧔🏿‍♂️	🧔🏿 ♂	man: dark skin tone, beard
35	U+1F9D4 U+200D U+2640 U+FE0F	🧔‍♀️	🧔‍♀️	🧔 ♀	woman: beard
36	U+1F9D4 U+1F3FB U+200D U+2640 U+FE0F	🧔🏻‍♀️	🧔🏻‍♀️	🧔🏻 ♀	woman: light skin tone, beard
37	U+1F9D4 U+1F3FC U+200D U+2640 U+FE0F	🧔🏼‍♀️	🧔🏼‍♀️	🧔🏼 ♀	woman: medium-light skin tone, beard
38	U+1F9D4 U+1F3FD U+200D U+2640 U+FE0F	🧔🏽‍♀️	🧔🏽‍♀️	🧔🏽 ♀	woman: medium skin tone, beard
